lat,lon,reviews
40.68338,-73.99011,2
40.67081,-73.94588,166
40.67135,-73.94797,31
40.67697,-73.96323,44
40.7225,-73.99287,2
40.77757,-73.9158,493
40.70866,-73.94376,240
40.83388,-73.94298,27
40.71955,-73.96337,282
40.74652,-73.99171,3
40.81609,-73.94355,37
40.69155,-73.95742,84
40.69496,-73.95273,9
40.74967,-73.97009,1
40.64212527573693,-73.90233613126439,269
40.62221,-74.03419,2
40.82092,-73.9573,3
40.70923,-73.92533,188
40.80862,-73.95329,2
40.6971,-73.9827,10
40.731,-74.00346,350
40.73964,-73.99967,4
40.67915,-73.92254,3
40.76347,-73.99049,33
40.79685,-73.94437,55
40.68250379892109,-73.92319429713152,24
40.78055,-73.94997,13
40.76842,-73.95532,70
40.68212,-73.93063,233
40.68557330547818,-73.95144176364386,386
40.70708,-73.94163,1
40.81157,-73.95635,28
40.73175,-74.00686,20
40.67205,-73.93601,12
40.69561,-73.93444,111
40.69217,-73.92294,203
40.74547,-73.99248,11
40.70941,-73.95309,3
40.7664,-73.92885,106
40.73031,-73.98476,492
40.78907,-73.9688,223
40.68489,-73.97167,1
40.74749,-73.97218,38
40.76375,-73.98242,1
40.64085,-73.95469,256
40.76584,-73.98762,12
40.72745,-73.99904,59
40.69191,-73.93901,479
40.70752,-73.94416,227
40.76412,-73.98854,90
40.73571,-73.98532,6
40.76584,-73.98762,29
40.76584,-73.98762,19
40.70979,-73.92209,158
40.72368,-73.99422,10
40.77652,-73.97792,312
40.82361,-73.94583,2
40.73319,-73.9887,3
40.67164,-73.95175,173
40.86247,-73.82576,37
40.67627,-73.98157,15
40.71284,-73.94041,1
40.69251,-73.92257,376
40.81835,-73.94638,136
40.8827,-73.86281,23
40.79959,-73.93857,46
40.68228,-73.97916,68
40.76527,-73.92979,21
40.7211,-73.99157,227
40.65897,-73.94957,1
40.81212,-73.94651,26
40.74299,-73.99595,8
40.68348,-73.92511,32
40.82357,-73.95484,10
40.8117,-73.93907,42
40.71084,-73.96401,146
40.66415,-73.97866,217
40.82595,-73.9525,35
40.72479,-73.98493,134
40.72331,-73.98619,10
40.75679,-73.9981,46
40.72169,-73.99741,83
40.67921,-73.93711,18
40.77267,-73.98897,24
40.74411,-74.00728,1
40.74759,-73.9771,144
40.71512,-73.95499,6
40.71216,-73.96677,257
40.75253,-73.93021,105
40.71622,-73.94994,13
40.73671,-73.98654,271
40.70363,-73.9135,76
40.6839,-73.95303,7
40.68553,-73.95773,6
40.71975,-73.94199,18
40.79528,-73.93495,35
40.67245,-73.92388,108
40.79057,-73.967,171
40.7193,-73.95567,182
40.81975,-73.87568,54
40.76731,-73.98437,127
